type, prep, exec, finish
move-cursor, 0.2, 0.141595840605658, 0.191595840605658
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.362166706163128, 0.412166706163128
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.200555549214992, 0.250555549214992
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.232961763941135, 0.282961763941135
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.274514278074099, 0.324514278074099
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.201594662252123, 0.251594662252123
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.244288061214549, 0.294288061214549
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.372456706994081, 0.422456706994081
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.18446897161364, 0.23446897161364
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.297527757471474, 0.347527757471474
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.158275274173828, 0.208275274173828
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.355627255201582, 0.405627255201582
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.267001515174778, 0.317001515174778
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.100100781568847, 0.150100781568847
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.27680458244252, 0.32680458244252
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.233155259733695, 0.283155259733695
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.369138302862791, 0.419138302862791
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.336545467308816, 0.386545467308816
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.24792945238439, 0.29792945238439
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.285972984792267, 0.335972984792267
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.330774041202523, 0.380774041202523
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.307472354998703, 0.357472354998703
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.212443038056765, 0.262443038056765
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.351376858113478, 0.401376858113478
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.217696856758086, 0.267696856758086
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.195145653033985, 0.245145653033985
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.254176606528544, 0.304176606528544
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.298984871197434, 0.348984871197434
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.216554559277428, 0.266554559277428
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.32930703537901, 0.37930703537901
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.377176829774283, 0.427176829774283
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.204757753833177, 0.254757753833177
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.0958410562077334, 0.145841056207733
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.128725827855353, 0.178725827855353
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.0943387470370445, 0.144338747037045
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.190015673762136, 0.240015673762136
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.192862167478857, 0.242862167478857
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.0827897680475362, 0.132789768047536
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.312288449362174, 0.362288449362174
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.36153332541517, 0.41153332541517
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.135269616692098, 0.185269616692098
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.177473721458746, 0.227473721458746
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.134307066857617, 0.184307066857617
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.160709554659037, 0.210709554659037
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.187333122857412, 0.237333122857412
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.250957056486745, 0.300957056486745
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.202703613224824, 0.252703613224824
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.084946792830625, 0.134946792830625
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.208245068637458, 0.258245068637458
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.16319842525047, 0.21319842525047
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.138983568787704, 0.188983568787704
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.313699531743451, 0.363699531743451
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.206613853987839, 0.256613853987839
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.321622520946974, 0.371622520946974
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.24338697312256, 0.29338697312256
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.200191092409905, 0.250191092409905
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.193423734775345, 0.243423734775345
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.118426744724381, 0.168426744724381
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.142009447048233, 0.192009447048233
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.150418854386004, 0.200418854386004
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.230012252198257, 0.280012252198257
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.276141526684157, 0.326141526684157
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.300238562874377, 0.350238562874377
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.339887198549779, 0.389887198549779
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.134278925011941, 0.184278925011941
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.180126109925442, 0.230126109925442
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.301071709998822, 0.351071709998822
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.291408014581938, 0.341408014581938
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.272461423371939, 0.322461423371939
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.198816080743723, 0.248816080743723
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.252363227575295, 0.302363227575295
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.419948145416856, 0.469948145416856
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.242731865155773, 0.292731865155773
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.224181694692501, 0.274181694692501
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.190846225119196, 0.240846225119196
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.255473354735687, 0.305473354735687
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.16974730322973, 0.21974730322973
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.309011859912785, 0.359011859912785
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.259151990467611, 0.309151990467611
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.217970940043739, 0.267970940043739
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.20668857684957, 0.25668857684957
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.236342706144745, 0.286342706144745
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.257076887719132, 0.307076887719132
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.328931175978254, 0.378931175978254
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.125760543274554, 0.175760543274554
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.237549946715745, 0.287549946715745
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.148360164340625, 0.198360164340625
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.238100079257481, 0.288100079257481
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.127436870468423, 0.177436870468423
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.28820647817707, 0.33820647817707
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.207571569456628, 0.257571569456628
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.267663872529219, 0.317663872529219
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.159542243882826, 0.209542243882826
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.386292713164474, 0.436292713164474
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.185807165191958, 0.235807165191958
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.205632050334788, 0.255632050334788
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.262401027006107, 0.312401027006107
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.210230126493238, 0.260230126493238
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.251853174628691, 0.301853174628691
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.269285070475016, 0.319285070475016
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.187572752931532, 0.237572752931532
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.309060448179058, 0.359060448179058
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.168747483965862, 0.218747483965862
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.118370949297424, 0.168370949297424
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.165899933061247, 0.215899933061247
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.270887891224429, 0.320887891224429
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.235762821761161, 0.285762821761161
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.228019959655765, 0.278019959655765
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.179005606958225, 0.229005606958225
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.322176080132937, 0.372176080132937
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.369360606151549, 0.419360606151549
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.232244876002817, 0.282244876002817
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.1673289335556, 0.2173289335556
click-mouse, 0.15, 0.01, 0.1
